AnyDBM_File,1.00,
Attribute::Handlers,0.78_02,
AutoLoader,5.60,
AutoSplit,1.04,
B,1.09_01,
B::Asmdata,1.01,
B::Assembler,0.07,
B::Bblock,1.02_01,
B::Bytecode,1.01_01,
B::C,1.04_01,
B::CC,1.00_01,
B::Concise,0.66,
B::Debug,1.02_01,
B::Deparse,0.71,
B::Disassembler,1.05,
B::Lint,1.03,
B::Showlex,1.02,
B::Stackobj,1.00,
B::Stash,1.00,
B::Terse,1.03_01,
B::Xref,1.01,
Benchmark,1.07,
ByteLoader,0.06,
CGI,3.15,
CGI::Apache,1.00,
CGI::Carp,1.29,
CGI::Cookie,1.26,
CGI::Fast,1.05,
CGI::Pretty,1.08,
CGI::Push,1.04,
CGI::Switch,1.00,
CGI::Util,1.5,
CPAN,1.76_02,
CPAN::FirstTime,"1.60 ",
CPAN::Nox,1.03,
Carp,1.04,
Carp::Heavy,1.04,
Class::ISA,0.33,
Class::Struct,0.63,
Config,,undefined
Cwd,3.12,
DB,1.01,
DBM_Filter,0.01,
DBM_Filter::compress,0.01,
DBM_Filter::encode,0.01,
DBM_Filter::int32,0.01,
DBM_Filter::null,0.01,
DBM_Filter::utf8,0.01,
DB_File,1.814,
Data::Dumper,2.121_08,
Devel::DProf,20050603.00,
Devel::PPPort,3.06_01,
Devel::Peek,1.03,
Devel::SelfStubber,1.03,
Digest,1.14,
Digest::MD5,2.36,
Digest::base,1.00,
Digest::file,1.00,
DirHandle,1.00,
Dumpvalue,1.12,
DynaLoader,1.05,
Encode,2.12,
Encode::Alias,2.04,
Encode::Byte,2.00,
Encode::CJKConstants,2.00,
Encode::CN,2.00,
Encode::CN::HZ,2.01,
Encode::Config,2.01,
Encode::EBCDIC,2.00,
Encode::Encoder,2.00,
Encode::Encoding,2.02,
Encode::Guess,2.00,
Encode::JP,2.01,
Encode::JP::H2Z,2.00,
Encode::JP::JIS7,2.00,
Encode::KR,2.00,
Encode::KR::2022_KR,2.00,
Encode::MIME::Header,2.01,
Encode::MIME::Header::ISO_2022_JP,1.01,
Encode::Symbol,2.00,
Encode::TW,2.00,
Encode::Unicode,2.02,
Encode::Unicode::UTF7,2.01,
English,1.02,
Env,1.00,
Errno,1.09_01,
Exporter,5.58,
Exporter::Heavy,5.58,
ExtUtils::Command,1.09,
ExtUtils::Command::MM,0.05,
ExtUtils::Constant,0.17,
ExtUtils::Constant::Base,0.01,
ExtUtils::Constant::Utils,0.01,
ExtUtils::Constant::XS,0.01,
ExtUtils::Embed,1.26,
ExtUtils::Install,1.33,
ExtUtils::Installed,0.08,
ExtUtils::Liblist,1.01,
ExtUtils::Liblist::Kid,1.3,
ExtUtils::MM,0.05,
ExtUtils::MM_AIX,0.03,
ExtUtils::MM_Any,0.13,
ExtUtils::MM_BeOS,1.05,
ExtUtils::MM_Cygwin,1.08,
ExtUtils::MM_DOS,0.02,
ExtUtils::MM_MacOS,1.08,
ExtUtils::MM_NW5,2.08,
ExtUtils::MM_OS2,1.05,
ExtUtils::MM_QNX,0.02,
ExtUtils::MM_UWIN,0.02,
ExtUtils::MM_Unix,1.50,
ExtUtils::MM_VMS,5.73,
ExtUtils::MM_VOS,0.02,
ExtUtils::MM_Win32,1.12,
ExtUtils::MM_Win95,0.04,
ExtUtils::MY,0.01,
ExtUtils::MakeMaker,6.30,
ExtUtils::MakeMaker::Config,0.02,
ExtUtils::MakeMaker::bytes,0.01,
ExtUtils::MakeMaker::vmsish,0.01,
ExtUtils::Manifest,1.46,
ExtUtils::Miniperl,,undefined
ExtUtils::Mkbootstrap,1.15,
ExtUtils::Mksymlists,1.19,
ExtUtils::Packlist,0.04,
ExtUtils::XSSymSet,1.0,
ExtUtils::testlib,1.15,
Fatal,1.03,
Fcntl,1.05,
File::Basename,2.74,
File::CheckTree,4.3,
File::Compare,1.1003,
File::Copy,2.09,
File::DosGlob,1.00,
File::Find,1.10,
File::Glob,1.05,
File::Path,1.08,
File::Spec,3.12,
File::Spec::Cygwin,1.1,
File::Spec::Epoc,1.1,
File::Spec::Functions,1.3,
File::Spec::Mac,1.4,
File::Spec::OS2,1.2,
File::Spec::Unix,1.5,
File::Spec::VMS,1.4,
File::Spec::Win32,1.6,
File::Temp,0.16,
File::stat,1.00,
FileCache,1.06,
FileHandle,2.01,
Filter::Simple,0.82,
Filter::Util::Call,1.0601,
FindBin,1.47,
GDBM_File,1.08,
Getopt::Long,2.35,
Getopt::Std,1.05,
Hash::Util,0.05,
I18N::Collate,1.00,
I18N::LangTags,0.35,
I18N::LangTags::Detect,1.03,
I18N::LangTags::List,0.35,
I18N::Langinfo,0.02,
IO,1.22,
IO::Dir,1.05,
IO::File,1.13,
IO::Handle,1.25,
IO::Pipe,1.13,
IO::Poll,0.07,
IO::Seekable,1.10,
IO::Select,1.17,
IO::Socket,1.29,
IO::Socket::INET,1.29,
IO::Socket::UNIX,1.22,
IPC::Msg,1.02,
IPC::Open2,1.02,
IPC::Open3,1.02,
IPC::Semaphore,1.02,
IPC::SysV,1.04,
List::Util,1.18,
Locale::Constants,2.07,
Locale::Country,2.07,
Locale::Currency,2.07,
Locale::Language,2.07,
Locale::Maketext,1.09,
Locale::Maketext::Guts,,undefined
Locale::Maketext::GutsLoader,,undefined
Locale::Script,2.07,
MIME::Base64,3.07,
MIME::QuotedPrint,3.07,
Math::BigFloat,1.51,
Math::BigFloat::Trace,0.01,
Math::BigInt,1.77,
Math::BigInt::Calc,0.47,
Math::BigInt::CalcEmu,0.05,
Math::BigInt::Trace,0.01,
Math::BigRat,0.15,
Math::Complex,1.35,
Math::Trig,1.03,
Memoize,1.01,
Memoize::AnyDBM_File,0.65,
Memoize::Expire,1.00,
Memoize::ExpireFile,1.01,
Memoize::ExpireTest,0.65,
Memoize::NDBM_File,0.65,
Memoize::SDBM_File,0.65,
Memoize::Storable,0.65,
NDBM_File,1.06,
NEXT,0.60,
Net::Cmd,2.26,
Net::Config,1.10,
Net::Domain,2.19,
Net::FTP,2.75,
Net::FTP::A,1.16,
Net::FTP::E,0.01,
Net::FTP::I,1.12,
Net::FTP::L,0.01,
Net::FTP::dataconn,0.11,
Net::NNTP,2.23,
Net::Netrc,2.12,
Net::POP3,2.28,
Net::Ping,2.31,
Net::SMTP,2.29,
Net::Time,2.10,
Net::hostent,1.01,
Net::netent,1.00,
Net::protoent,1.00,
Net::servent,1.01,
O,1.00,
ODBM_File,1.06,
Opcode,1.06,
POSIX,1.09,
PerlIO,1.04,
PerlIO::encoding,0.09,
PerlIO::scalar,0.04,
PerlIO::via,0.03,
PerlIO::via::QuotedPrint,0.06,
Pod::Checker,1.43,
Pod::Find,1.34,
Pod::Functions,1.03,
Pod::Html,1.0504,
Pod::InputObjects,1.3,
Pod::LaTeX,0.58,
Pod::Man,1.37,
Pod::ParseLink,1.06,
Pod::ParseUtils,1.33,
Pod::Parser,1.32,
Pod::Perldoc,3.14,
Pod::Perldoc::BaseTo,,undefined
Pod::Perldoc::GetOptsOO,,undefined
Pod::Perldoc::ToChecker,,undefined
Pod::Perldoc::ToMan,,undefined
Pod::Perldoc::ToNroff,,undefined
Pod::Perldoc::ToPod,,undefined
Pod::Perldoc::ToRtf,,undefined
Pod::Perldoc::ToText,,undefined
Pod::Perldoc::ToTk,,undefined
Pod::Perldoc::ToXml,,undefined
Pod::PlainText,2.02,
Pod::Plainer,0.01,
Pod::Select,1.3,
Pod::Text,2.21,
Pod::Text::Color,1.04,
Pod::Text::Overstrike,1.1,
Pod::Text::Termcap,1.11,
Pod::Usage,1.33,
SDBM_File,1.05,
Safe,2.12,
Scalar::Util,1.18,
Search::Dict,1.02,
SelectSaver,1.01,
SelfLoader,1.0904,
Shell,0.6,
Socket,1.78,
Storable,2.15,
Switch,2.10_01,
Symbol,1.06,
Sys::Hostname,1.11,
Sys::Syslog,0.13,
Term::ANSIColor,1.10,
Term::Cap,1.09,
Term::Complete,1.402,
Term::ReadLine,1.02,
Test,1.25,
Test::Builder,0.32,
Test::Builder::Module,0.02,
Test::Builder::Tester,1.02,
Test::Builder::Tester::Color,,undefined
Test::Harness,2.56,
Test::Harness::Assert,0.02,
Test::Harness::Iterator,0.02,
Test::Harness::Point,0.01,
Test::Harness::Straps,0.26,
Test::More,0.62,
Test::Simple,0.62,
Text::Abbrev,1.01,
Text::Balanced,1.95,
Text::ParseWords,3.24,
Text::Soundex,1.01,
Text::Tabs,2005.0824,
Text::Wrap,2005.082401,
Thread,2.00,
Thread::Queue,2.00,
Thread::Semaphore,2.01,
Thread::Signal,1.00,
Thread::Specific,1.00,
Tie::Array,1.03,
Tie::File,0.97,
Tie::Handle,4.1,
Tie::Hash,1.02,
Tie::Memoize,1.0,
Tie::RefHash,1.32,
Tie::Scalar,1.00,
Tie::SubstrHash,1.00,
Time::HiRes,1.86,
Time::Local,1.11,
Time::gmtime,1.02,
Time::localtime,1.02,
Time::tm,1.00,
UNIVERSAL,1.01,
Unicode,4.1.0,
Unicode::Collate,0.52,
Unicode::Normalize,0.32,
Unicode::UCD,0.24,
User::grent,1.01,
User::pwent,1.00,
VMS::DCLsym,1.02,
VMS::Filespec,1.11,
VMS::Stdio,2.3,
Win32,0.2601,
XS::APItest,0.08,
XS::Typemap,0.02,
XSLoader,0.06,
attributes,0.06,
attrs,1.02,
autouse,1.05,
base,2.07,
bigint,0.07,
bignum,0.17,
bigrat,0.08,
blib,1.03,
bytes,1.02,
charnames,1.05,
constant,1.05,
diagnostics,1.15,
encoding,2.02,
fields,2.03,
filetest,1.01,
if,0.05,
integer,1.00,
less,0.01,
lib,0.5565,
locale,1.00,
open,1.05,
ops,1.01,
overload,1.04,
re,0.05,
sigtrap,1.02,
sort,1.02,
strict,1.03,
subs,1.00,
threads,1.07,
threads::shared,0.94,
utf8,1.06,
vars,1.01,
vmsish,1.02,
warnings,1.05,
warnings::register,1.01,
